danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,album,explicit,artists,added_at
0.667,0.45,9.0,-11.344,1.0,0.0736,0.923,0.000273,0.127,0.882,134.947,audio_features,5bCaepILVR1N9UZjVdr7db,spotify:track:5bCaepILVR1N9UZjVdr7db,https://api.spotify.com/v1/tracks/5bCaepILVR1N9UZjVdr7db,https://api.spotify.com/v1/audio-analysis/5bCaepILVR1N9UZjVdr7db,264400,4.0,Jota Carupanera,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.516,0.507,4.0,-9.684,0.0,0.0504,0.771,0.0,0.173,0.655,144.155,audio_features,34YkTwUJ81U7f3Rxu3XXiH,spotify:track:34YkTwUJ81U7f3Rxu3XXiH,https://api.spotify.com/v1/tracks/34YkTwUJ81U7f3Rxu3XXiH,https://api.spotify.com/v1/audio-analysis/34YkTwUJ81U7f3Rxu3XXiH,197933,3.0,Amor Bonito,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.522,0.39,7.0,-11.04,1.0,0.0692,0.867,1.84e-06,0.11,0.474,90.1,audio_features,5kbmJYyQjr01vnJVFW4pLO,spotify:track:5kbmJYyQjr01vnJVFW4pLO,https://api.spotify.com/v1/tracks/5kbmJYyQjr01vnJVFW4pLO,https://api.spotify.com/v1/audio-analysis/5kbmJYyQjr01vnJVFW4pLO,289200,3.0,Anhelante / la Bikina,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.431,0.791,11.0,-7.894,0.0,0.0423,0.482,0.000191,0.217,0.871,108.733,audio_features,6Jhh3sQYuvKyYOh2r2NMdL,spotify:track:6Jhh3sQYuvKyYOh2r2NMdL,https://api.spotify.com/v1/tracks/6Jhh3sQYuvKyYOh2r2NMdL,https://api.spotify.com/v1/audio-analysis/6Jhh3sQYuvKyYOh2r2NMdL,281760,4.0,Las Dos Luisas,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.549,0.438,1.0,-13.123,1.0,0.113,0.901,8.79e-05,0.0798,0.693,92.073,audio_features,5MCUeXNd6Hc3kaMehd6864,spotify:track:5MCUeXNd6Hc3kaMehd6864,https://api.spotify.com/v1/tracks/5MCUeXNd6Hc3kaMehd6864,https://api.spotify.com/v1/audio-analysis/5MCUeXNd6Hc3kaMehd6864,263960,4.0,Guácara,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.422,0.273,10.0,-14.327,0.0,0.0472,0.919,1.6e-05,0.109,0.285,176.244,audio_features,6Z9k5OX6gsuTuUHwzWHUMv,spotify:track:6Z9k5OX6gsuTuUHwzWHUMv,https://api.spotify.com/v1/tracks/6Z9k5OX6gsuTuUHwzWHUMv,https://api.spotify.com/v1/audio-analysis/6Z9k5OX6gsuTuUHwzWHUMv,213800,3.0,La Jota de Mi Canto,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.58,0.484,10.0,-12.435,1.0,0.0774,0.847,0.859,0.0998,0.619,92.412,audio_features,3Q6mvifqWMzJOy5T4TBUIz,spotify:track:3Q6mvifqWMzJOy5T4TBUIz,https://api.spotify.com/v1/tracks/3Q6mvifqWMzJOy5T4TBUIz,https://api.spotify.com/v1/audio-analysis/3Q6mvifqWMzJOy5T4TBUIz,425760,4.0,De Conde a Principal,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.624,0.631,0.0,-8.986,1.0,0.0673,0.716,0.0,0.223,0.954,89.358,audio_features,3XttAMKhLlIgGk4atNBiyg,spotify:track:3XttAMKhLlIgGk4atNBiyg,https://api.spotify.com/v1/tracks/3XttAMKhLlIgGk4atNBiyg,https://api.spotify.com/v1/audio-analysis/3XttAMKhLlIgGk4atNBiyg,165666,4.0,La Carta,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.675,0.347,9.0,-13.115,0.0,0.0632,0.926,5.06e-05,0.125,0.638,127.169,audio_features,5oTrZaBe4k8GH1gw9XdcL1,spotify:track:5oTrZaBe4k8GH1gw9XdcL1,https://api.spotify.com/v1/tracks/5oTrZaBe4k8GH1gw9XdcL1,https://api.spotify.com/v1/audio-analysis/5oTrZaBe4k8GH1gw9XdcL1,285680,4.0,Presagio,Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.465,0.742,2.0,-10.722,1.0,0.0477,0.808,0.839,0.112,0.824,138.788,audio_features,1Tie4IQ9nI3zOCVHcd6fPG,spotify:track:1Tie4IQ9nI3zOCVHcd6fPG,https://api.spotify.com/v1/tracks/1Tie4IQ9nI3zOCVHcd6fPG,https://api.spotify.com/v1/audio-analysis/1Tie4IQ9nI3zOCVHcd6fPG,288186,4.0,Zumbacumlaude (Zumba Que Zumba),Gualberto + C4,False,"Gualberto Ibarreto,C4 Trío",2020-07-26T21:34:22Z
0.555,0.0722,8.0,-25.623,1.0,0.054,0.993,0.941,0.71,0.2,120.618,audio_features,1HDvPBsbQVD6VU0XbSxX22,spotify:track:1HDvPBsbQVD6VU0XbSxX22,https://api.spotify.com/v1/tracks/1HDvPBsbQVD6VU0XbSxX22,https://api.spotify.com/v1/audio-analysis/1HDvPBsbQVD6VU0XbSxX22,435160,4.0,Poor Butterfly,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.488,0.157,5.0,-24.077,0.0,0.0642,0.992,0.939,0.706,0.488,88.43,audio_features,5ffMC3tdEyTLE982JYH9Pq,spotify:track:5ffMC3tdEyTLE982JYH9Pq,https://api.spotify.com/v1/tracks/5ffMC3tdEyTLE982JYH9Pq,https://api.spotify.com/v1/audio-analysis/5ffMC3tdEyTLE982JYH9Pq,341933,4.0,It Don't Mean A Thing If It Ain't Got That Swing,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.287,0.0453,1.0,-28.597,1.0,0.0393,0.994,0.934,0.7,0.135,46.507,audio_features,5F0Zr59HOMzKlRj4RygOmJ,spotify:track:5F0Zr59HOMzKlRj4RygOmJ,https://api.spotify.com/v1/tracks/5F0Zr59HOMzKlRj4RygOmJ,https://api.spotify.com/v1/audio-analysis/5F0Zr59HOMzKlRj4RygOmJ,508600,4.0,Body and Soul,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.371,0.0661,8.0,-26.715,1.0,0.0436,0.994,0.938,0.698,0.256,81.353,audio_features,25DyeE0D4MOj7IYtN3gS4p,spotify:track:25DyeE0D4MOj7IYtN3gS4p,https://api.spotify.com/v1/tracks/25DyeE0D4MOj7IYtN3gS4p,https://api.spotify.com/v1/audio-analysis/25DyeE0D4MOj7IYtN3gS4p,614773,4.0,All the Things You Are,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.323,0.109,9.0,-22.104,0.0,0.0443,0.993,0.929,0.704,0.159,75.562,audio_features,1B0WFf3scXOoGCp9lMlknU,spotify:track:1B0WFf3scXOoGCp9lMlknU,https://api.spotify.com/v1/tracks/1B0WFf3scXOoGCp9lMlknU,https://api.spotify.com/v1/audio-analysis/1B0WFf3scXOoGCp9lMlknU,635493,4.0,Besame Mucho,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.55,0.107,8.0,-25.687,1.0,0.0518,0.993,0.943,0.69,0.522,108.955,audio_features,4d9t3AI8Y7dWriajwj3rsH,spotify:track:4d9t3AI8Y7dWriajwj3rsH,https://api.spotify.com/v1/tracks/4d9t3AI8Y7dWriajwj3rsH,https://api.spotify.com/v1/audio-analysis/4d9t3AI8Y7dWriajwj3rsH,462200,4.0,Seven Come Eleven,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.491,0.137,5.0,-20.6,1.0,0.0496,0.993,0.893,0.686,0.434,98.56,audio_features,7u03teol2a91FTBX2MQPfQ,spotify:track:7u03teol2a91FTBX2MQPfQ,https://api.spotify.com/v1/tracks/7u03teol2a91FTBX2MQPfQ,https://api.spotify.com/v1/audio-analysis/7u03teol2a91FTBX2MQPfQ,412893,4.0,I'm Getting Sentimental Over You,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.524,0.174,10.0,-21.526,0.0,0.0564,0.993,0.943,0.697,0.531,83.566,audio_features,3ZzjLSeeCTK8NFgkspcfNR,spotify:track:3ZzjLSeeCTK8NFgkspcfNR,https://api.spotify.com/v1/tracks/3ZzjLSeeCTK8NFgkspcfNR,https://api.spotify.com/v1/audio-analysis/3ZzjLSeeCTK8NFgkspcfNR,393106,4.0,Birk's Works,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.469,0.0519,3.0,-23.693,0.0,0.045,0.994,0.937,0.704,0.134,110.419,audio_features,1nr2ozhCbP49x0A1yG4hN6,spotify:track:1nr2ozhCbP49x0A1yG4hN6,https://api.spotify.com/v1/tracks/1nr2ozhCbP49x0A1yG4hN6,https://api.spotify.com/v1/audio-analysis/1nr2ozhCbP49x0A1yG4hN6,524000,4.0,'Round Midnight,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.485,0.152,10.0,-21.219,1.0,0.0506,0.992,0.918,0.691,0.596,102.649,audio_features,4p0fg14VunDW1uBarg7e3K,spotify:track:4p0fg14VunDW1uBarg7e3K,https://api.spotify.com/v1/tracks/4p0fg14VunDW1uBarg7e3K,https://api.spotify.com/v1/audio-analysis/4p0fg14VunDW1uBarg7e3K,392960,4.0,Anthropology,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.311,0.0596,4.0,-24.063,0.0,0.0452,0.994,0.822,0.701,0.189,82.382,audio_features,6NwVbGbtbVXfWhzgDWQfZV,spotify:track:6NwVbGbtbVXfWhzgDWQfZV,https://api.spotify.com/v1/tracks/6NwVbGbtbVXfWhzgDWQfZV,https://api.spotify.com/v1/audio-analysis/6NwVbGbtbVXfWhzgDWQfZV,425773,4.0,The Shadow of Your Smile,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
0.469,0.132,0.0,-23.938,1.0,0.0408,0.992,0.899,0.642,0.308,118.011,audio_features,0QRZO0zzxiwzNIrPOmbiRu,spotify:track:0QRZO0zzxiwzNIrPOmbiRu,https://api.spotify.com/v1/tracks/0QRZO0zzxiwzNIrPOmbiRu,https://api.spotify.com/v1/audio-analysis/0QRZO0zzxiwzNIrPOmbiRu,525760,3.0,All Blues,Reunion,False,Dale Bruning with Bill Frisell,2020-07-26T00:12:05Z
